HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-04-19 04:00;2024-04-19 06:00;DK1;448,570007;60,119999
2024-04-19 03:00;2024-04-19 05:00;DK1;366,200012;49,080002
2024-04-19 02:00;2024-04-19 04:00;DK1;357,920013;47,970001
2024-04-19 01:00;2024-04-19 03:00;DK1;369,109985;49,470001
2024-04-19 00:00;2024-04-19 02:00;DK1;377,019989;50,529999
2024-04-18 23:00;2024-04-19 01:00;DK1;453,869995;60,830002
2024-04-18 22:00;2024-04-19 00:00;DK1;576,090027;77,209999
2024-04-18 21:00;2024-04-18 23:00;DK1;592,179993;79,370003
2024-04-18 20:00;2024-04-18 22:00;DK1;670,669983;89,889999
2024-04-18 19:00;2024-04-18 21:00;DK1;790,270020;105,919998
2024-04-18 18:00;2024-04-18 20:00;DK1;961,200012;128,830002
2024-04-18 17:00;2024-04-18 19:00;DK1;934,419983;125,239998
2024-04-18 16:00;2024-04-18 18:00;DK1;701,559998;94,029999
2024-04-18 15:00;2024-04-18 17:00;DK1;606,799988;81,330002
2024-04-18 14:00;2024-04-18 16:00;DK1;528,840027;70,879997
2024-04-18 13:00;2024-04-18 15:00;DK1;527,489990;70,699997
2024-04-18 12:00;2024-04-18 14:00;DK1;544,729980;73,010002
2024-04-18 11:00;2024-04-18 13:00;DK1;575,989990;77,199997
2024-04-18 10:00;2024-04-18 12:00;DK1;601,659973;80,639999
2024-04-18 09:00;2024-04-18 11:00;DK1;625,760010;83,870003
2024-04-18 08:00;2024-04-18 10:00;DK1;673,059998;90,209999
2024-04-18 07:00;2024-04-18 09:00;DK1;754,460022;101,120003
2024-04-18 06:00;2024-04-18 08:00;DK1;978,809998;131,190002
2024-04-18 05:00;2024-04-18 07:00;DK1;1162,430054;155,800003
2024-04-18 04:00;2024-04-18 06:00;DK1;909,349976;121,879997
2024-04-18 03:00;2024-04-18 05:00;DK1;697,380005;93,470001
2024-04-18 02:00;2024-04-18 04:00;DK1;668,580017;89,610001
2024-04-18 01:00;2024-04-18 03:00;DK1;654,780029;87,760002
